<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.15	1.13983	1.14514	1.13906	1.14109	116969	0	1
2020.07.16	1.14095	1.14412	1.13701	1.13829	127907	0	1
2020.07.17	1.13829	1.14434	1.13716	1.14242	85183	0	1
2020.07.20	1.14041	1.14671	1.14019	1.14465	128805	0	1
2020.07.21	1.14469	1.15393	1.14222	1.15261	138152	0	1
2020.07.22	1.15257	1.16011	1.15063	1.15689	170742	0	1
2020.07.23	1.15698	1.16263	1.15398	1.15954	141908	0	1
2020.07.24	1.15952	1.16575	1.15806	1.16543	153084	0	1
2020.07.27	1.16402	1.17808	1.16402	1.17510	160406	0	1
2020.07.28	1.17509	1.17732	1.16980	1.17148	157113	0	1
2020.07.29	1.17144	1.18060	1.17078	1.17906	177954	0	1
2020.07.30	1.17904	1.18478	1.17302	1.18467	180261	0	1
2020.07.31	1.18465	1.19082	1.17615	1.17742	216079	0	1
2020.08.03	1.17698	1.17962	1.16952	1.17614	158060	0	1
2020.08.04	1.17612	1.18057	1.17208	1.18018	153118	0	1
2020.08.05	1.18018	1.19043	1.17923	1.18625	156292	0	1
2020.08.06	1.18625	1.19156	1.18175	1.18756	200314	0	1
2020.08.07	1.18753	1.18825	1.17547	1.17840	193773	0	1
2020.08.10	1.17858	1.18002	1.17353	1.17367	111189	0	1
2020.08.11	1.17368	1.18075	1.17215	1.17389	174719	0	1
2020.08.12	1.17392	1.18168	1.17105	1.17831	161489	0	1
2020.08.13	1.17831	1.18637	1.17673	1.18123	143851	0	1
2020.08.14	1.18124	1.18498	1.17811	1.18406	115891	0	1
2020.08.17	1.18374	1.18805	1.18256	1.18690	101715	0	1
2020.08.18	1.18692	1.19651	1.18620	1.19305	145409	0	1
2020.08.19	1.19297	1.19523	1.18298	1.18378	164458	0	1
2020.08.20	1.18348	1.18681	1.18014	1.18589	166420	0	1
2020.08.21	1.18593	1.18824	1.17536	1.17950	142501	0	1
2020.08.24	1.17884	1.18492	1.17837	1.17868	101364	0	1
2020.08.25	1.17794	1.18431	1.17794	1.18336	122640	0	1
2020.08.26	1.18335	1.18388	1.17716	1.18292	117065	0	1
2020.08.27	1.18285	1.19015	1.17616	1.18211	252762	0	1
2020.08.28	1.18211	1.19193	1.18104	1.19052	192636	0	1
2020.08.31	1.18936	1.19657	1.18839	1.19351	141171	0	1
2020.09.01	1.19350	1.20108	1.19007	1.19110	194689	0	1
2020.09.02	1.19107	1.19282	1.18216	1.18543	158612	0	1
2020.09.03	1.18539	1.18641	1.17883	1.18506	166042	0	1
2020.09.04	1.18469	1.18648	1.17803	1.18363	181550	0	1
2020.09.07	1.18436	1.18482	1.18103	1.18120	66893	0	1
2020.09.08	1.18110	1.18268	1.17649	1.17734	163989	0	1
2020.09.09	1.17725	1.18335	1.17522	1.18020	146802	0	1
2020.09.10	1.18020	1.19169	1.17984	1.18141	207515	0	1
2020.09.11	1.18143	1.18737	1.17995	1.18428	113411	0	1
2020.09.14	1.18349	1.18876	1.18315	1.18636	89079	0	1
2020.09.15	1.18634	1.19001	1.18389	1.18458	101425	0	1
2020.09.16	1.18453	1.18822	1.17875	1.18147	179308	0	1
2020.09.17	1.18147	1.18518	1.17366	1.18472	168889	0	1
2020.09.18	1.18465	1.18701	1.18255	1.18400	113559	0	1
2020.09.21	1.18388	1.18713	1.17312	1.17702	149717	0	1
2020.09.22	1.17704	1.17731	1.16912	1.17070	160406	0	1
2020.09.23	1.17066	1.17185	1.16507	1.16583	155510	0	1
2020.09.24	1.16593	1.16867	1.16260	1.16649	151641	0	1
2020.09.25	1.16592	1.16845	1.16115	1.16280	127631	0	1
2020.09.28	1.16227	1.16795	1.16146	1.16619	114399	0	1
2020.09.29	1.16598	1.17450	1.16580	1.17422	114347	0	1
2020.09.30	1.17415	1.17544	1.16840	1.17192	171902	0	1
2020.10.01	1.17185	1.17693	1.17119	1.17435	164205	0	1
2020.10.02	1.17394	1.17482	1.16951	1.17155	172814	0	1
2020.10.05	1.17097	1.17970	1.17037	1.17808	99675	0	1
2020.10.06	1.17810	1.18072	1.17312	1.17331	132824	0	1
2020.10.07	1.17327	1.17816	1.17245	1.17595	111254	0	1
2020.10.08	1.17560	1.17812	1.17321	1.17570	83694	0	1
2020.10.09	1.17547	1.18302	1.17478	1.18288	86821	0	1
2020.10.12	1.18048	1.18262	1.17862	1.18101	71856	0	1
2020.10.13	1.18093	1.18149	1.17304	1.17429	87449	0	1
2020.10.14	1.17430	1.17706	1.17195	1.17447	83445	0	1
2020.10.15	1.17446	1.17572	1.16879	1.17062	96880	0	1
2020.10.16	1.17064	1.17456	1.16934	1.17121	87476	0	1
2020.10.19	1.17184	1.17931	1.17026	1.17678	79765	0	1
2020.10.20	1.17677	1.18402	1.17572	1.18202	78502	0	1
2020.10.21	1.18202	1.18802	1.18185	1.18559	97838	0	1
2020.10.22	1.18539	1.18665	1.18109	1.18157	86160	0	1
2020.10.23	1.18165	1.18642	1.17862	1.18560	88733	0	1
2020.10.26	1.18515	1.18590	1.18027	1.18082	87693	0	4
2020.10.27	1.18071	1.18382	1.17918	1.17943	73191	0	1
2020.10.28	1.17949	1.17954	1.17174	1.17453	109251	0	1
2020.10.29	1.17453	1.17583	1.16496	1.16717	118618	0	1
2020.10.30	1.16726	1.17038	1.16395	1.16440	108642	0	1
2020.11.02	1.16434	1.16552	1.16217	1.16399	86324	0	1
2020.11.03	1.16400	1.17393	1.16139	1.17146	80023	0	1
2020.11.04	1.17064	1.17699	1.16016	1.17194	268356	0	1
2020.11.05	1.17200	1.18592	1.17073	1.18263	164202	0	1
2020.11.06	1.18155	1.18903	1.17947	1.18735	163852	0	1
2020.11.09	1.18884	1.19195	1.17948	1.18123	218466	0	1
2020.11.10	1.18113	1.18428	1.17794	1.18118	155710	0	1
2020.11.11	1.18110	1.18322	1.17449	1.17767	90052	0	1
2020.11.12	1.17748	1.18227	1.17580	1.18027	102065	0	1
2020.11.13	1.18022	1.18369	1.17903	1.18329	70317	0	5
2020.11.16	1.18395	1.18687	1.18136	1.18496	97343	0	10
2020.11.17	1.18496	1.18933	1.18418	1.18602	81056	0	10
2020.11.18	1.18595	1.18905	1.18487	1.18517	81377	0	10
2020.11.19	1.18513	1.18820	1.18157	1.18738	83277	0	10
2020.11.20	1.18738	1.18903	1.18492	1.18560	72660	0	10
2020.11.23	1.18521	1.19055	1.17994	1.18401	98027	0	10
2020.11.24	1.18401	1.18955	1.18355	1.18885	95297	0	10
2020.11.25	1.18884	1.19293	1.18814	1.19150	110530	0	10
2020.11.26	1.19150	1.19405	1.18847	1.19117	61747	0	10
2020.11.27	1.19113	1.19635	1.19057	1.19635	72541	0	10
2020.11.30	1.19575	1.20028	1.19220	1.19249	107433	0	10
2020.12.01	1.19249	1.20761	1.19242	1.20681	113651	0	10
2020.12.02	1.20663	1.21179	1.20394	1.21148	118506	0	10
2020.12.03	1.21148	1.21740	1.21005	1.21397	109324	0	10
2020.12.04	1.21432	1.21769	1.21096	1.21193	119141	0	10
2020.12.07	1.21299	1.21658	1.20780	1.21085	108044	0	10
2020.12.08	1.21085	1.21337	1.20950	1.21018	105336	0	9
2020.12.09	1.21018	1.21469	1.20582	1.20794	98434	0	9
2020.12.10	1.20794	1.21587	1.20681	1.21356	134662	0	9
2020.12.11	1.21356	1.21626	1.21049	1.21099	97700	0	9
