<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.08	16:30:00	1.11243	1.11263	1.11171	1.11242	999	0	7
2020.01.08	17:00:00	1.11238	1.11302	1.11217	1.11233	959	0	5
2020.01.08	17:30:00	1.11232	1.11234	1.11147	1.11194	1197	0	7
2020.01.08	18:00:00	1.11193	1.11197	1.11084	1.11118	1037	0	7
2020.01.08	18:30:00	1.11118	1.11176	1.11097	1.11160	1917	0	7
2020.01.08	19:00:00	1.11160	1.11255	1.11152	1.11203	1281	0	7
2020.01.08	19:30:00	1.11203	1.11212	1.11127	1.11175	726	0	8
2020.01.08	20:00:00	1.11174	1.11174	1.11100	1.11142	811	0	6
2020.01.08	20:30:00	1.11142	1.11152	1.11102	1.11126	383	0	6
2020.01.08	21:00:00	1.11127	1.11135	1.11076	1.11098	494	0	9
2020.01.08	21:30:00	1.11097	1.11124	1.11094	1.11107	367	0	7
2020.01.08	22:00:00	1.11107	1.11114	1.11092	1.11109	326	0	8
2020.01.08	22:30:00	1.11110	1.11143	1.11099	1.11114	745	0	8
2020.01.08	23:00:00	1.11116	1.11122	1.11076	1.11088	281	0	9
2020.01.08	23:30:00	1.11089	1.11090	1.11016	1.11038	262	0	9
2020.01.09	00:00:00	1.11046	1.11124	1.11027	1.11097	211	0	12
2020.01.09	00:30:00	1.11096	1.11124	1.11072	1.11082	540	0	13
2020.01.09	01:00:00	1.11082	1.11099	1.11063	1.11097	165	0	11
2020.01.09	01:30:00	1.11099	1.11125	1.11093	1.11124	127	0	11
2020.01.09	02:00:00	1.11125	1.11139	1.11087	1.11129	596	0	8
2020.01.09	02:30:00	1.11129	1.11153	1.11118	1.11129	438	0	8
2020.01.09	03:00:00	1.11129	1.11143	1.11105	1.11129	355	0	10
2020.01.09	03:30:00	1.11127	1.11188	1.11127	1.11169	496	0	10
2020.01.09	04:00:00	1.11169	1.11185	1.11148	1.11155	282	0	7
2020.01.09	04:30:00	1.11156	1.11169	1.11141	1.11147	263	0	8
2020.01.09	05:00:00	1.11148	1.11158	1.11136	1.11154	202	0	8
2020.01.09	05:30:00	1.11154	1.11173	1.11147	1.11148	173	0	7
2020.01.09	06:00:00	1.11150	1.11152	1.11122	1.11132	216	0	9
2020.01.09	06:30:00	1.11132	1.11153	1.11128	1.11149	161	0	8
2020.01.09	07:00:00	1.11150	1.11167	1.11146	1.11164	211	0	8
2020.01.09	07:30:00	1.11165	1.11184	1.11156	1.11178	240	0	8
