<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.12	20:00:00	1.08784	1.08805	1.08647	1.08730	3345	0	0
2020.02.13	00:00:00	1.08714	1.08759	1.08691	1.08724	2839	0	9
2020.02.13	04:00:00	1.08720	1.08732	1.08646	1.08711	1550	0	7
2020.02.13	08:00:00	1.08711	1.08882	1.08690	1.08823	4214	0	7
2020.02.13	12:00:00	1.08824	1.08873	1.08526	1.08543	6718	0	5
2020.02.13	16:00:00	1.08549	1.08613	1.08335	1.08420	7793	0	0
2020.02.13	20:00:00	1.08420	1.08450	1.08374	1.08385	2697	0	6
2020.02.14	00:00:00	1.08379	1.08415	1.08266	1.08357	2119	0	0
2020.02.14	04:00:00	1.08357	1.08369	1.08303	1.08365	1539	0	7
2020.02.14	08:00:00	1.08366	1.08497	1.08316	1.08441	4272	0	7
2020.02.14	12:00:00	1.08442	1.08591	1.08319	1.08546	5804	0	5
2020.02.14	16:00:00	1.08547	1.08607	1.08324	1.08429	6348	0	2
2020.02.14	20:00:00	1.08428	1.08458	1.08287	1.08292	2921	0	6
2020.02.17	00:00:00	1.08382	1.08412	1.08331	1.08361	2586	0	0
2020.02.17	04:00:00	1.08361	1.08408	1.08355	1.08392	1527	0	6
2020.02.17	08:00:00	1.08391	1.08505	1.08334	1.08437	3478	0	7
2020.02.17	12:00:00	1.08438	1.08477	1.08316	1.08356	3355	0	5
2020.02.17	16:00:00	1.08355	1.08409	1.08287	1.08315	3313	0	3
2020.02.17	20:00:00	1.08316	1.08354	1.08296	1.08318	2117	0	7
2020.02.18	00:00:00	1.08333	1.08371	1.08224	1.08271	2853	0	5
2020.02.18	04:00:00	1.08272	1.08334	1.08231	1.08307	1642	0	6
2020.02.18	08:00:00	1.08310	1.08367	1.08241	1.08266	5282	0	5
2020.02.18	12:00:00	1.08265	1.08363	1.07928	1.08017	7769	0	1
2020.02.18	16:00:00	1.08019	1.08254	1.07850	1.08037	7935	0	5
2020.02.18	20:00:00	1.08036	1.08037	1.07891	1.07901	3037	0	5
2020.02.19	00:00:00	1.07894	1.08032	1.07892	1.08014	2515	0	0
2020.02.19	04:00:00	1.08014	1.08024	1.07938	1.07950	1565	0	6
2020.02.19	08:00:00	1.07950	1.08076	1.07908	1.08026	4526	0	6
2020.02.19	12:00:00	1.08026	1.08055	1.07840	1.07928	5585	0	2
2020.02.19	16:00:00	1.07929	1.07983	1.07817	1.07913	7973	0	6
2020.02.19	20:00:00	1.07912	1.08111	1.07896	1.08062	4240	0	6
2020.02.20	00:00:00	1.08019	1.08147	1.07972	1.07996	3276	0	7
2020.02.20	04:00:00	1.07996	1.08016	1.07912	1.07962	2814	0	7
2020.02.20	08:00:00	1.07964	1.08057	1.07773	1.07992	6370	0	7
2020.02.20	12:00:00	1.07992	1.08045	1.07853	1.08041	7037	0	7
2020.02.20	16:00:00	1.08042	1.08206	1.07823	1.07925	10163	0	0
2020.02.20	20:00:00	1.07925	1.07965	1.07824	1.07827	3644	0	7
2020.02.21	00:00:00	1.07825	1.07932	1.07824	1.07923	2279	0	7
2020.02.21	04:00:00	1.07923	1.07944	1.07872	1.07924	2303	0	6
2020.02.21	08:00:00	1.07925	1.08194	1.07890	1.08089	7895	0	2
2020.02.21	12:00:00	1.08088	1.08118	1.07948	1.08087	6458	0	6
2020.02.21	16:00:00	1.08086	1.08630	1.08005	1.08569	10962	0	0
2020.02.21	20:00:00	1.08570	1.08610	1.08460	1.08474	3224	0	7
2020.02.24	00:00:00	1.08240	1.08419	1.08112	1.08276	4744	0	5
2020.02.24	04:00:00	1.08278	1.08293	1.08143	1.08145	2263	0	7
2020.02.24	08:00:00	1.08145	1.08414	1.08046	1.08151	8764	0	1
2020.02.24	12:00:00	1.08151	1.08277	1.08125	1.08142	7667	0	7
2020.02.24	16:00:00	1.08142	1.08712	1.08136	1.08703	13000	0	5
2020.02.24	20:00:00	1.08705	1.08715	1.08407	1.08529	6722	0	6
2020.02.25	00:00:00	1.08508	1.08592	1.08411	1.08580	3797	0	7
2020.02.25	04:00:00	1.08580	1.08670	1.08502	1.08506	2728	0	7
2020.02.25	08:00:00	1.08506	1.08655	1.08471	1.08500	8655	0	3
2020.02.25	12:00:00	1.08499	1.08499	1.08297	1.08404	7737	0	5
2020.02.25	16:00:00	1.08401	1.08822	1.08314	1.08821	13704	0	3
2020.02.25	20:00:00	1.08822	1.08901	1.08714	1.08802	8429	0	2
2020.02.26	00:00:00	1.08793	1.08825	1.08668	1.08732	3086	0	7
2020.02.26	04:00:00	1.08733	1.08779	1.08619	1.08754	4014	0	6
2020.02.26	08:00:00	1.08755	1.08972	1.08650	1.08884	9318	0	5
2020.02.26	12:00:00	1.08885	1.09081	1.08558	1.08649	11568	0	3
2020.02.26	16:00:00	1.08653	1.08933	1.08545	1.08781	11798	0	0
2020.02.26	20:00:00	1.08781	1.08994	1.08741	1.08793	7369	0	7
2020.02.27	00:00:00	1.08791	1.09122	1.08741	1.09007	4511	0	3
2020.02.27	04:00:00	1.09011	1.09142	1.09004	1.09070	3595	0	7
2020.02.27	08:00:00	1.09070	1.09474	1.09054	1.09348	10131	0	6
2020.02.27	12:00:00	1.09348	1.09772	1.09323	1.09761	11965	0	3
2020.02.27	16:00:00	1.09761	1.10056	1.09625	1.09790	18741	0	0
2020.02.27	20:00:00	1.09788	1.10027	1.09776	1.09993	9385	0	2
2020.02.28	00:00:00	1.09974	1.10047	1.09853	1.09874	4303	0	1
2020.02.28	04:00:00	1.09874	1.10037	1.09817	1.09997	5203	0	7
2020.02.28	08:00:00	1.09996	1.10523	1.09909	1.10440	13652	0	5
2020.02.28	12:00:00	1.10437	1.10443	1.09679	1.09861	16248	0	3
2020.02.28	16:00:00	1.09863	1.10082	1.09504	1.10006	21136	0	0
2020.02.28	20:00:00	1.10005	1.10451	1.09898	1.10240	11758	0	0
2020.03.02	00:00:00	1.10441	1.10732	1.10356	1.10561	7380	0	0
2020.03.02	04:00:00	1.10561	1.10629	1.10414	1.10427	6000	0	6
2020.03.02	08:00:00	1.10427	1.10926	1.10379	1.10792	15914	0	0
2020.03.02	12:00:00	1.10790	1.11638	1.10769	1.11211	17811	0	0
2020.03.02	16:00:00	1.11212	1.11847	1.11073	1.11792	23014	0	0
2020.03.02	20:00:00	1.11790	1.11829	1.11234	1.11313	8113	0	0
2020.03.03	00:00:00	1.11321	1.11474	1.11198	1.11316	4519	0	0
2020.03.03	04:00:00	1.11315	1.11551	1.11281	1.11444	4716	0	6
2020.03.03	08:00:00	1.11443	1.11505	1.10996	1.11258	11234	0	3
2020.03.03	12:00:00	1.11256	1.11381	1.10946	1.11185	16568	0	0
2020.03.03	16:00:00	1.11186	1.12131	1.11149	1.11582	24597	0	0
2020.03.03	20:00:00	1.11586	1.11945	1.11580	1.11694	12032	0	5
2020.03.04	00:00:00	1.11674	1.11847	1.11616	1.11658	4159	0	6
2020.03.04	04:00:00	1.11659	1.11705	1.11549	1.11562	3281	0	6
2020.03.04	08:00:00	1.11562	1.11869	1.11428	1.11559	11636	0	0
2020.03.04	12:00:00	1.11561	1.11664	1.11091	1.11248	12402	0	0
2020.03.04	16:00:00	1.11247	1.11451	1.10949	1.11231	16793	0	0
2020.03.04	20:00:00	1.11231	1.11417	1.11229	1.11343	5853	0	4
2020.03.05	00:00:00	1.11321	1.11421	1.11299	1.11364	3263	0	5
2020.03.05	04:00:00	1.11364	1.11431	1.11334	1.11340	1971	0	7
2020.03.05	08:00:00	1.11340	1.11735	1.11190	1.11729	9018	0	4
2020.03.05	12:00:00	1.11728	1.11995	1.11560	1.11862	12327	0	0
2020.03.05	16:00:00	1.11861	1.12163	1.11664	1.12133	15938	0	5
2020.03.05	20:00:00	1.12134	1.12443	1.11913	1.12359	8715	0	0
2020.03.06	00:00:00	1.12357	1.12457	1.12111	1.12450	4868	0	0
2020.03.06	04:00:00	1.12452	1.12482	1.12256	1.12276	4576	0	5
2020.03.06	08:00:00	1.12277	1.12946	1.12185	1.12934	14494	0	4
2020.03.06	12:00:00	1.12935	1.13400	1.12924	1.13223	23312	0	0
2020.03.06	16:00:00	1.13219	1.13542	1.12865	1.13048	26703	0	2
2020.03.06	20:00:00	1.13050	1.13251	1.12881	1.12890	14440	0	0
2020.03.09	00:00:00	1.13453	1.14954	1.13397	1.14274	14468	0	0
2020.03.09	04:00:00	1.14275	1.14603	1.13699	1.13811	15503	0	0
2020.03.09	08:00:00	1.13808	1.14746	1.13647	1.13907	25479	0	0
2020.03.09	12:00:00	1.13907	1.14837	1.13747	1.14011	25812	0	0
2020.03.09	16:00:00	1.14004	1.14785	1.13992	1.14622	26947	0	0
2020.03.09	20:00:00	1.14622	1.14725	1.14142	1.14417	13683	0	0
2020.03.10	00:00:00	1.14446	1.14575	1.13761	1.13843	8449	0	1
2020.03.10	04:00:00	1.13843	1.14140	1.13714	1.13746	10487	0	3
2020.03.10	08:00:00	1.13746	1.14005	1.13317	1.13597	22790	0	5
2020.03.10	12:00:00	1.13597	1.13892	1.13353	1.13795	22190	0	0
2020.03.10	16:00:00	1.13794	1.13938	1.12958	1.13053	28867	0	0
2020.03.10	20:00:00	1.13053	1.13304	1.12743	1.12806	20872	0	0
2020.03.11	00:00:00	1.12744	1.13253	1.12701	1.13182	6276	0	5
2020.03.11	04:00:00	1.13181	1.13383	1.13092	1.13370	7632	0	2
2020.03.11	08:00:00	1.13370	1.13661	1.13087	1.13129	16938	0	2
2020.03.11	12:00:00	1.13128	1.13508	1.13008	1.13385	18701	0	3
2020.03.11	16:00:00	1.13387	1.13512	1.12568	1.12681	22279	0	0
2020.03.11	20:00:00	1.12680	1.12880	1.12661	1.12697	15249	0	1
2020.03.12	00:00:00	1.12672	1.12756	1.12498	1.12710	4669	0	0
2020.03.12	04:00:00	1.12710	1.13329	1.12655	1.12952	14251	0	5
2020.03.12	08:00:00	1.12952	1.13191	1.12533	1.12669	15158	0	3
2020.03.12	12:00:00	1.12674	1.13010	1.11969	1.12142	22388	0	0
2020.03.12	16:00:00	1.12140	1.12526	1.10548	1.11454	36672	0	0
2020.03.12	20:00:00	1.11455	1.12258	1.11434	1.11846	23082	0	0
2020.03.13	00:00:00	1.11821	1.11921	1.11516	1.11658	9746	0	0
2020.03.13	04:00:00	1.11660	1.12209	1.11652	1.12185	13042	0	5
2020.03.13	08:00:00	1.12181	1.12199	1.11617	1.12065	22058	0	5
2020.03.13	12:00:00	1.12065	1.12070	1.11087	1.11097	19699	0	2
2020.03.13	16:00:00	1.11102	1.11329	1.10544	1.10803	29019	0	0
2020.03.13	20:00:00	1.10801	1.11169	1.10566	1.11008	20195	0	0
2020.03.16	00:00:00	1.10540	1.11986	1.10540	1.11181	19306	0	0
2020.03.16	04:00:00	1.11180	1.11335	1.10841	1.11326	14271	0	0
2020.03.16	08:00:00	1.11326	1.12289	1.11075	1.12246	29038	0	1
2020.03.16	12:00:00	1.12252	1.12357	1.11414	1.11653	28512	0	2
2020.03.16	16:00:00	1.11648	1.11679	1.10938	1.11611	29309	0	1
2020.03.16	20:00:00	1.11609	1.11857	1.11447	1.11802	17794	0	0
2020.03.17	00:00:00	1.11783	1.11805	1.11567	1.11705	9737	0	5
2020.03.17	04:00:00	1.11705	1.11885	1.11595	1.11785	15746	0	5
2020.03.17	08:00:00	1.11789	1.11807	1.11096	1.11105	19544	0	3
2020.03.17	12:00:00	1.11102	1.11183	1.09725	1.09878	23219	0	2
2020.03.17	16:00:00	1.09877	1.10143	1.09544	1.09655	28906	0	0
2020.03.17	20:00:00	1.09656	1.10198	1.09579	1.09974	15830	0	2
2020.03.18	00:00:00	1.09962	1.10221	1.09901	1.09919	9969	0	6
2020.03.18	04:00:00	1.09919	1.10327	1.09841	1.10302	11883	0	2
2020.03.18	08:00:00	1.10301	1.10444	1.09547	1.09723	24330	0	2
2020.03.18	12:00:00	1.09723	1.10171	1.09275	1.09297	29975	0	0
2020.03.18	16:00:00	1.09296	1.09463	1.08066	1.08084	30842	0	0
2020.03.18	20:00:00	1.08085	1.09180	1.08011	1.09158	21673	0	1
2020.03.19	00:00:00	1.09052	1.09804	1.08977	1.08996	12129	0	0
2020.03.19	04:00:00	1.08995	1.09195	1.08767	1.08957	13904	0	0
2020.03.19	08:00:00	1.08958	1.09470	1.08125	1.08369	24853	0	0
2020.03.19	12:00:00	1.08365	1.08681	1.07254	1.07979	27160	0	0
2020.03.19	16:00:00	1.07977	1.08323	1.06599	1.06624	40314	0	0
2020.03.19	20:00:00	1.06625	1.07051	1.06545	1.06927	21669	0	0
2020.03.20	00:00:00	1.06904	1.06910	1.06522	1.06632	8719	0	5
2020.03.20	04:00:00	1.06637	1.07644	1.06626	1.07644	21191	0	0
2020.03.20	08:00:00	1.07644	1.08303	1.07409	1.07866	32339	0	0
2020.03.20	12:00:00	1.07867	1.07900	1.06959	1.07087	30536	0	0
2020.03.20	16:00:00	1.07086	1.07487	1.06539	1.06600	30976	0	0
2020.03.20	20:00:00	1.06603	1.06993	1.06373	1.06965	23834	0	2
2020.03.23	00:00:00	1.06999	1.07050	1.06353	1.06778	15219	0	0
