time,open,high,low,close,volume,spread
2022.09.23 13:15:00,11368.95,11375.2,11341.7,11344.95,1501,100
2022.09.23 13:30:00,11344.95,11349.45,11331.2,11332.95,1607,100
2022.09.23 13:45:00,11332.95,11336.95,11306.2,11312.2,1599,63
2022.09.23 14:00:00,11310.7,11325.2,11301.82,11309.32,1854,100
2022.09.23 14:15:00,11308.95,11320.95,11304.95,11319.7,1587,100
2022.09.23 14:30:00,11319.95,11327.2,11302.82,11304.7,1511,100
2022.09.23 14:45:00,11304.82,11339.07,11303.82,11333.07,1528,100
2022.09.23 15:00:00,11333.45,11349.7,11327.45,11344.95,1611,100
2022.09.23 15:15:00,11345.07,11350.95,11333.45,11347.2,1503,100
2022.09.23 15:30:00,11347.07,11348.32,11322.57,11330.95,1604,100
2022.09.23 15:45:00,11330.95,11339.57,11316.57,11332.7,1539,100
2022.09.23 16:00:00,11332.7,11402.7,11329.32,11396.07,1861,100
2022.09.23 16:15:00,11395.95,11403.45,11376.95,11383.57,1763,100
2022.09.23 16:30:00,11383.57,11391.67,11308.17,11332.92,2427,80
2022.09.23 16:45:00,11331.8,11353.67,11273.05,11275.17,2379,0
2022.09.23 17:00:00,11276.3,11311.67,11260.67,11289.67,2329,0
2022.09.23 17:15:00,11288.92,11328.42,11277.67,11328.42,2339,5
2022.09.23 17:30:00,11328.42,11328.42,11286.17,11308.42,2233,67
2022.09.23 17:45:00,11308.67,11339.55,11291.92,11300.67,2203,80
2022.09.23 18:00:00,11299.92,11335.42,11282.67,11300.42,2127,5
2022.09.23 18:15:00,11300.42,11348.67,11296.17,11299.42,2163,0
2022.09.23 18:30:00,11299.42,11320.05,11279.8,11280.8,2105,55
2022.09.23 18:45:00,11280.67,11294.92,11261.67,11283.92,1995,30
2022.09.23 19:00:00,11283.17,11289.42,11247.17,11256.17,2020,68
2022.09.23 19:15:00,11255.92,11262.67,11225.67,11226.42,1966,30
2022.09.23 19:30:00,11226.67,11249.17,11219.8,11240.17,2036,55
2022.09.23 19:45:00,11239.67,11284.55,11237.3,11276.8,2047,30
2022.09.23 20:00:00,11277.42,11293.92,11265.17,11274.92,1972,55
2022.09.23 20:15:00,11274.8,11291.17,11239.17,11241.17,1949,80
2022.09.23 20:30:00,11241.17,11256.92,11229.92,11240.92,1854,80
2022.09.23 20:45:00,11240.67,11258.17,11237.42,11251.67,1802,80
2022.09.23 21:00:00,11251.67,11267.05,11190.42,11197.17,2059,55
2022.09.23 21:15:00,11196.67,11214.67,11177.8,11203.92,2024,55
2022.09.23 21:30:00,11204.92,11204.92,11173.42,11193.42,2049,5
2022.09.23 21:45:00,11193.67,11198.17,11151.42,11159.17,2000,30
2022.09.23 22:00:00,11157.42,11240.92,11156.92,11219.17,2139,80
2022.09.23 22:15:00,11218.67,11251.92,11213.42,11241.17,2190,80
2022.09.23 22:30:00,11241.42,11306.92,11238.17,11300.42,2197,80
2022.09.23 22:45:00,11300.17,11306.92,11250.67,11299.42,2243,0
2022.09.23 23:00:00,11299.55,11314.97,11290.85,11297.8,1620,80
2022.09.23 23:15:00,11297.55,11314.3,11297.55,11310.8,785,80
2022.09.23 23:30:00,11310.8,11313.05,11306.55,11307.17,482,80
2022.09.23 23:45:00,11307.3,11314.42,11306.92,11310.8,476,80
2022.09.26 01:00:00,11277.98,11299.48,11237.73,11270.36,1360,120
2022.09.26 01:15:00,11270.48,11321.98,11269.11,11312.11,1179,120
2022.09.26 01:30:00,11312.23,11316.48,11294.98,11295.23,962,120
2022.09.26 01:45:00,11295.11,11305.61,11273.36,11281.48,1023,95
2022.09.26 02:00:00,11281.61,11293.86,11273.98,11282.36,909,32
2022.09.26 02:15:00,11282.36,11294.36,11275.48,11291.11,705,120
2022.09.26 02:30:00,11291.36,11293.86,11256.11,11264.86,1040,83
2022.09.26 02:45:00,11264.73,11276.86,11261.73,11272.98,989,45
2022.09.26 03:00:00,11272.86,11306.98,11268.61,11297.61,1468,120
2022.09.26 03:15:00,11297.61,11301.61,11269.98,11279.11,1301,120
2022.09.26 03:30:00,11279.23,11287.98,11251.36,11254.23,1173,83
2022.09.26 03:45:00,11254.86,11264.48,11227.61,11233.98,1333,120
2022.09.26 04:00:00,11232.36,11245.23,11211.86,11239.73,1830,95
2022.09.26 04:15:00,11239.73,11244.98,11217.36,11220.86,1554,95
2022.09.26 04:30:00,11221.36,11267.23,11219.11,11263.61,1702,120
2022.09.26 04:45:00,11264.11,11265.98,11252.48,11265.11,1405,83
2022.09.26 05:00:00,11265.11,11280.98,11259.36,11266.61,1381,120
2022.09.26 05:15:00,11266.11,11292.11,11262.86,11284.98,1295,120
2022.09.26 05:30:00,11284.48,11289.23,11268.36,11279.11,1162,120
2022.09.26 05:45:00,11279.11,11279.86,11256.86,11259.36,1138,120
2022.09.26 06:00:00,11259.61,11271.61,11256.36,11263.98,1066,120
2022.09.26 06:15:00,11263.36,11279.11,11260.36,11265.23,956,120
