<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.15	22:00:00	1.11498	1.11524	1.11476	1.11518	638	0	7
2020.01.15	23:00:00	1.11515	1.11519	1.11476	1.11490	399	0	8
2020.01.16	00:00:00	1.11488	1.11521	1.11486	1.11509	907	0	11
2020.01.16	01:00:00	1.11510	1.11524	1.11497	1.11518	350	0	8
2020.01.16	02:00:00	1.11519	1.11576	1.11518	1.11542	740	0	7
2020.01.16	03:00:00	1.11542	1.11547	1.11525	1.11531	531	0	8
2020.01.16	04:00:00	1.11530	1.11533	1.11502	1.11512	290	0	7
2020.01.16	05:00:00	1.11512	1.11545	1.11509	1.11522	281	0	7
2020.01.16	06:00:00	1.11522	1.11531	1.11502	1.11505	365	0	7
2020.01.16	07:00:00	1.11506	1.11521	1.11491	1.11492	291	0	8
2020.01.16	08:00:00	1.11493	1.11500	1.11441	1.11499	654	0	8
2020.01.16	09:00:00	1.11499	1.11523	1.11446	1.11471	1071	0	8
2020.01.16	10:00:00	1.11471	1.11632	1.11453	1.11557	1671	0	8
2020.01.16	11:00:00	1.11559	1.11590	1.11497	1.11529	1539	0	8
2020.01.16	12:00:00	1.11532	1.11627	1.11521	1.11568	1090	0	7
2020.01.16	13:00:00	1.11566	1.11602	1.11553	1.11584	921	0	8
2020.01.16	14:00:00	1.11583	1.11721	1.11563	1.11643	1555	0	5
2020.01.16	15:00:00	1.11644	1.11693	1.11495	1.11509	2481	0	6
2020.01.16	16:00:00	1.11508	1.11595	1.11406	1.11410	2235	0	6
2020.01.16	17:00:00	1.11409	1.11463	1.11305	1.11402	2713	0	0
2020.01.16	18:00:00	1.11395	1.11418	1.11275	1.11297	1787	0	7
2020.01.16	19:00:00	1.11298	1.11356	1.11285	1.11342	890	0	6
2020.01.16	20:00:00	1.11342	1.11357	1.11312	1.11342	712	0	8
2020.01.16	21:00:00	1.11342	1.11350	1.11320	1.11343	664	0	8
2020.01.16	22:00:00	1.11343	1.11375	1.11339	1.11374	664	0	7
